z (m), u (m/s), V (1/s), T (K), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.19648755928322728, -1.1137362632987518e-15, 300.0, 3.1345153757676376e-05, -6.1738416594472037e-13, 1.925997175191192e-14, 1.0535346942045195e-11, 2.7447586186153081e-19, 1.4541287389564771e-08, 3.2784269579925893e-15, -8.9061367737863472e-14, 5.0741770168922929e-14, 2.5699699957590857e-14, 1.1189939441483293e-16, 4.7219010048132212e-20, 1.6951958446254393e-14, 1.8868976259377828e-09, 3.6835169523017888e-09, 2.6342551032420242e-10, 3.7276193598641024e-18, 1.4957407120539251e-13, -1.2010637226583653e-14, -4.9609805490291908e-14, 2.1977821192585057e-14, 1.5920325987128536e-14, 2.9974965948220195e-10, 4.2352117031228234e-16, 2.2841566514705614e-10, 1.2259521405189977e-13, 0.99996859167524521, -7.4954267196473168e-17, 1.4244850214957658e-13, 8.2731826163729375e-16, -2.5624251810995456e-14, -2.9047711555394778e-15, -1.2617157573062898e-15, 1.6533095564281891e-12, -1.8935956789214152e-30, 4.8388754514383926e-12, 1.9758099220646734e-13, -1.9037618461194252e-15, 1.0830558283742664e-14, -1.0025955246074428e-14, 2.7401892682685712e-13, 1.3346644182129503e-18, 8.7946356594964713e-15, 1.233778680363983e-14, 1.8258673606516295e-17, 5.1882928814455603e-14, -2.8374261621109128e-19, 4.1927378178996382e-08, 3.2285528009028984e-10, 1.5424943674691683e-15, 1.2540920286552233e-13, 6.5823695540435876e-17, 8.1458129812271652e-16, 
0.00050000000000000001, 0.19376893210062901, 5.4571375027450806, 300.00003984599806, 8.5299224601029653e-05, -2.5760561818938707e-13, 5.9715709896212574e-16, 8.1039768347618769e-11, 1.4905316547439138e-18, 1.1049442352422391e-07, 2.5419118676153683e-14, -1.7936113142129086e-15, 5.0594804891917645e-14, 1.5065085262984652e-16, 7.9084874309035456e-16, 4.7528201718367971e-27, 9.5051348835603268e-14, 1.3670717020080322e-08, 2.8341945384547858e-08, 2.6847779734978724e-09, 3.915438548213462e-17, 1.5869256062756703e-12, -1.2008648132968303e-14, -4.9139786166900791e-14, 2.3342241405699909e-13, 4.1799810624919788e-15, 2.8546038479730916e-09, 4.2612096154061639e-16, 2.2867038494109659e-09, 1.3119477848200845e-12, 0.99991421746906817, -6.4900625978820438e-17, 1.5344463564308251e-12, 2.0467115260647755e-14, -2.5568613650457417e-14, -2.8933326261136558e-15, -1.0415597978324078e-15, 1.2872573584134113e-11, -1.4477379385282052e-29, 3.7522062421359295e-11, 1.8400034870735434e-12, 8.8719462364338446e-15, 1.094280890966544e-14, -9.2112962508683618e-15, 2.9543273436216427e-12, 1.5110138099186564e-17, 8.7989669892629176e-15, 1.270368337480576e-13, 1.7891071120021997e-16, 5.2957060623967032e-13, -2.889675919182073e-18, 3.2020384825974467e-07, 2.6262832913465923e-09, 2.0204244057863703e-14, 1.5771141103289133e-12, 2.2550273324193626e-15, 8.7807522628444432e-15, 
0.001, 0.18560952108646298, 10.914338912851317, 300.00045216112824, 0.00023082772882032827, -1.0606051838939626e-13, 2.0231702943030783e-17, 6.1757737299118521e-10, 5.2023569243863645e-20, 8.3079348315276993e-07, 1.9503069344370874e-13, 6.7074078763012007e-13, 4.9896448760318949e-14, 3.15576935872543e-19, 7.9282247717599124e-16, -2.2825795059910935e-28, 5.4943931596941656e-13, 9.8017582069015388e-08, 2.1577210388354963e-07, 2.7052773273498208e-08, 4.2084371853527775e-16, 1.6646612447079128e-11, -1.1997287120471438e-14, -4.4620664880374031e-14, 2.484858399835023e-12, 4.7781654452752258e-16, 2.6881948874314865e-08, 5.13478818525555e-16, 2.2634363726803608e-08, 1.819474222567234e-11, 0.99976550912984985, -4.8255944215668559e-17, 1.8061907393971998e-11, 2.5365412975102089e-13, -2.5295709209149281e-14, -2.8418416223757096e-15, 8.8303674238739776e-17, 9.9167197061739296e-11, -4.504845010450624e-29, 2.8788135073535551e-10, 1.6938762578490746e-11, 1.1793471173439343e-13, 1.1818058067422182e-14, -7.4588005202795206e-15, 3.1493347538373971e-11, 1.6486103145913594e-16, 8.7647523814402027e-15, 1.2830683526724606e-12, 1.798094846200154e-15, 5.3441098502156521e-12, -1.7106219375565236e-17, 2.4197163157284694e-06, 2.1134781289916544e-08, 2.669289236305469e-13, 2.0841704825747009e-11, 2.8407014869098775e-14, 1.0420336512699253e-13, 
0.0015, 0.17203376932225156, 16.37196790320866, 300.00455129598737, 0.00061288004775288888, -4.0663380786433774e-14, 1.7118631579114792e-17, 4.5504399909280611e-09, 1.4174862252181543e-19, 6.0394323847326817e-06, 1.4466028266224127e-12, 5.6628315255285822e-12, 4.691785959470794e-14, 2.3394256125327597e-22, 7.8336424609653076e-16, 1.5515351905562777e-29, 3.7604650603424472e-12, 6.797699416600563e-07, 1.5880509908155157e-06, 2.6293368762511801e-07, 4.2729770584313209e-15, 1.6839165982430456e-10, -1.1927298752112288e-14, -4.3554751643589394e-16, 2.5535326240175681e-11, 2.0861407126724939e-17, 2.442992894672617e-07, 1.5544130703280214e-15, 2.1612935008377846e-07, 1.8997991098616471e-10, 0.99936023805080654, 5.2951580185480133e-17, 2.0668522882657971e-10, 2.9149536967313945e-12, -2.4090172887063478e-14, -2.634583339577911e-15, 5.6917103249147268e-15, 7.3846124023725928e-10, -1.2623803568722471e-28, 2.1350736377387631e-09, 1.5050239702400326e-10, 1.1796530050194974e-12, 1.8347769199813642e-14, -4.5073768480647807e-15, 3.2365561460389614e-10, 1.7202061984680813e-15, 8.5872760791925134e-15, 1.2490036549769212e-11, 1.7495025947422109e-14, 5.2017981027704511e-11, -7.6289182067467396e-17, 1.7678106297762417e-05, 1.6433986988736003e-07, 3.3994070630077458e-12, 2.664791643949181e-10, 3.284185771527107e-13, 1.2028536000089563e-12, 
0.002, 0.15310285858086864, 21.832207886971222, 300.04250463803209, 0.0015698811693241085, -3.1536513275847265e-15, 9.357794092809696e-17, 3.1540052447590202e-08, 5.2401904963881064e-18, 4.1306561223739676e-05, 1.0100514276954619e-11, 4.0350530515593344e-11, 3.6782522281450591e-14, 2.881912394070187e-25, 7.5113570168716127e-16, 2.1042174804951878e-27, 2.4515968136897178e-11, 4.4388946048169475e-06, 1.0994668206689753e-05, 2.3950215606139856e-06, 4.0117630996410002e-14, 1.5956768360197105e-09, -1.152216840548058e-14, 4.1048586406179534e-13, 2.4579144862788953e-10, 3.2800441735235657e-19, 2.0824275685842471e-06, 1.1309197500330035e-14, 1.9345567822104142e-06, 1.8035014066059273e-09, 0.99824419077295312, 6.6588403594299708e-16, 2.214314725027698e-09, 3.124074591590587e-11, -1.9810964937981967e-14, -1.9759482393961649e-15, 3.1857986798231777e-14, 5.1719189288637459e-09, -6.7960831504853225e-29, 1.489393234885611e-08, 1.2545898678684812e-09, 1.0830392931426085e-11, 6.3830239145135114e-14, -1.2480891538732192e-15, 3.1151498475564782e-09, 1.674747760639227e-14, 7.8047927740877027e-15, 1.1393746192140088e-10, 1.5958638774047731e-13, 4.7451844691023397e-10, -2.1813593943081006e-16, 0.00012150905144173229, 1.2010928015711298e-06, 4.0461839153295086e-11, 3.1853711886374092e-09, 3.5368230680703348e-12, 1.2998976317907164e-11, 
0.0025000000000000001, 0.12899985403634828, 27.307489029086685, 300.35688353084811, 0.0038037138279308469, 5.545515084098778e-14, 3.2773761935055484e-16, 1.9893904034770307e-07, 2.0634838240231837e-16, 0.00025714831609587112, 6.456556021854798e-11, 2.5814105849688799e-10, 1.5601210540680308e-14, 9.3357583799154065e-26, 7.406073232805338e-16, 4.8796412459078237e-26, 1.457010315202226e-10, 2.641750778351429e-05, 6.9274061190442634e-05, 1.9735905383321771e-05, 3.406364571884697e-13, 1.3668502419411305e-08, -9.6207683948143059e-15, 3.8919315435754401e-12, 2.1380344643833301e-09, 1.895342983256634e-21, 1.6079655797629403e-05, 8.8404941890641375e-14, 1.5670444591345788e-05, 1.5427418302891687e-08, 0.99502327658606649, 4.1600799379165887e-15, 2.1401445226685085e-08, 3.0195339151978089e-10, -1.0194852699997382e-14, -7.2817078989902217e-16, 1.4337538244994392e-13, 3.2951861459050784e-08, 7.4994239909522704e-27, 9.4535509721137209e-08, 9.4770251598966751e-09, 8.9758203215581684e-11, 3.4970084433831489e-13, 4.2479716346950053e-16, 2.7095754690013594e-08, 1.4699257288866888e-13, 5.2942146015472265e-15, 9.4023979698827446e-10, 1.3169390116262221e-12, 3.9158418727581385e-09, -2.3346787669516911e-16, 0.00076024935950917444, 7.9780903550695894e-06, 4.3373121910082776e-10, 3.4293380010889042e-08, 3.4340627669674497e-11, 1.2671230162281432e-10, 
0.0027499999999999998, 0.11527879780704157, 30.077086461758299, 301.22613871112105, 0.0058538995132281042, 1.2731476033617174e-13, 9.1752800913309758e-16, 5.5593297576549292e-07, 1.6907676940708673e-15, 0.00071171409902145218, 1.8798286756444369e-10, 7.2780713707881474e-10, 5.9953385121654307e-15, 1.5888651904399314e-25, 1.0927696654642842e-15, 4.6745733626574884e-25, 3.942293304092304e-10, 7.0834774404577431e-05, 0.00019344425496599539, 6.7222089467298642e-05, 1.2103863667496693e-12, 4.7956529549956486e-08, -7.1117983013054011e-15, 1.3993585227267387e-11, 7.5906472683413561e-09, 1.3856562480996372e-23, 5.2134416437631916e-05, 2.8836241293787882e-13, 5.2680582435208255e-05, 5.4063956418773214e-08, 0.99086091591561298, 1.2092793157069902e-14, 8.2512797249831465e-08, 1.1641774263960263e-09, -5.1918158136933963e-15, -1.899847334551032e-16, 3.1382509709630286e-13, 9.273245288908105e-08, 4.9623804659467457e-26, 2.6538484332518209e-07, 3.021476110758719e-08, 3.0700936771239934e-10, 9.6555219887516737e-13, 4.8300946957551812e-16, 9.6197067317779567e-08, 5.2391730627659975e-13, 3.3248746318524535e-15, 3.2060409925517259e-09, 4.4905142248631105e-12, 1.3352292043899307e-08, -1.0313550527810381e-16, 0.0021126148852436697, 2.3140955193540951e-05, 1.8154890143570633e-09, 1.4412623878475934e-07, 1.3292265018701678e-10, 4.9184266051166827e-10, 
0.0030000000000000001, 0.10105030526274385, 32.947172829242092, 304.37366935023101, 0.0088920887537614433, 2.6400410950772582e-13, 4.8225935692898314e-15, 1.5933919821484258e-06, 1.4870226229004678e-14, 0.0020170540006342304, 5.8270437122938456e-10, 2.1058278288197138e-09, 1.1464522246510704e-15, 5.1423232712234514e-25, 2.9516646180274544e-15, 7.1375203601834056e-24, 1.1077020160518522e-09, 0.00019408596228221285, 0.00055406234499182647, 0.00023884858598960986, 4.5642784652445004e-12, 1.7590740525408892e-07, -1.6938225149342048e-15, 5.2341591473116677e-11, 2.8202936370911036e-08, 2.9945812313723335e-25, 0.0001755952005549121, 1.0028739977300628e-12, 0.00018452309773327131, 1.9813938498445823e-07, 0.98164920838210101, 3.8828947776321416e-14, 3.3526602359786374e-07, 4.7302857484162594e-09, -1.8442864986528773e-15, 1.8238147871437664e-16, 6.8889609149563151e-13, 2.6764603047716933e-07, 3.339377060765788e-25, 7.6449285041556723e-07, 9.9891000144568941e-08, 1.0957834421671149e-09, 2.7689724044690244e-12, 1.9595846126072354e-16, 3.5741050431922686e-07, 1.9514609087265939e-12, 1.3571985952331022e-15, 1.1404824291531072e-08, 1.5974080587873039e-11, 4.7498040007087647e-08, 9.3743734160626311e-18, 0.0060209327983229005, 6.9058268276068856e-05, 8.0593079289340136e-09, 6.4303734924045496e-07, 5.4269948535624557e-10, 2.0130934439218963e-09, 
0.0032500000000000003, 0.087383658860110763, 36.115090408129539, 314.27551802951365, 0.013092461073335879, 5.8704455117430172e-13, 2.4570396322923166e-14, 4.2617119543212086e-06, 1.1804496743701621e-13, 0.0053251817760522711, 1.8798349286429576e-09, 5.6819325394754792e-09, 1.053407007318964e-16, 2.7390076009535645e-24, 1.2169300728967332e-14, 1.4025562824998222e-22, 3.0860721890947885e-09, 0.00049741037442760567, 0.0014813690276455542, 0.00078094312714481571, 1.6330434315979868e-11, 5.9196425986363072e-07, 1.2359581949922774e-14, 1.8038588418768592e-10, 9.6064387152279233e-08, 6.0118071243501701e-24, 0.00054609587551082532, 3.7348545348486052e-12, 0.00059508587178453494, 6.6723378080456523e-07, 0.96143876380068283, 1.4442291913070866e-13, 1.2425587619038491e-06, 1.7531298134514721e-08, -4.5358363854775243e-16, 9.0628452787862284e-16, 1.4358024163674395e-12, 7.1906143057725315e-07, 2.9220425971762458e-24, 2.055128224890628e-06, 3.0493589193780444e-07, 3.5978120880102882e-09, 7.4263822739721217e-12, 3.1735332104975487e-17, 1.2173211439734282e-06, 6.6297713712138743e-12, 3.0834601505674952e-16, 3.7328271307272086e-08, 5.2283652139260658e-11, 1.5546253047617403e-07, 1.4339073933665508e-17, 0.016036894860370337, 0.00019176654764182965, 3.2393436498658796e-08, 2.6049173807501885e-06, 2.0256292655384728e-09, 7.5122435619142037e-09, 
0.0033750000000000004, 0.081430711243691806, 37.979863537483752, 325.39971004664147, 0.015654525347264987, 1.0413648075607174e-12, 6.0621390048643991e-14, 6.8455296983319682e-06, 3.5440932010576999e-13, 0.0084749913862268832, 3.8991842243525304e-09, 9.168989537481318e-09, 1.5338930089082945e-17, 9.750284640721651e-24, 3.1775711765011078e-14, 7.9648406089963268e-22, 5.5474105528508467e-09, 0.00078074150906776185, 0.0023795604944820332, 0.0014003659931511394, 3.2334266227668003e-11, 1.0778826834610551e-06, 3.7184366404278329e-14, 3.3575661989304469e-10, 1.7615561501112619e-07, 5.0761501496271578e-23, 0.00095202081402181852, 9.3679886421850912e-12, 0.0010584282331736919, 1.2180169055320049e-06, 0.94323320913568631, 3.6011896711638215e-13, 2.3949502737248919e-06, 3.3790342577186332e-08, -1.7213172874218304e-16, 2.4996639974925186e-15, 2.0339454059829816e-12, 1.1554723808844074e-06, 1.2506278092890492e-23, 3.3113728925345406e-06, 5.2515300840677145e-07, 6.4665471497713173e-09, 1.1924779929380931e-11, 6.3494566208056803e-18, 2.2320533785825836e-06, 1.2052465857363817e-11, 9.9691522178951702e-17, 6.6971645575990473e-08, 9.3803801432670641e-11, 2.7892035907448494e-07, 2.0443678252443585e-17, 0.025727234849412996, 0.00031419452060877783, 6.517035544630367e-08, 5.3022187813712072e-06, 3.9389801415193267e-09, 1.4538309664108422e-08, 
